name,rating,votes,salary,sectors,location
Citicorp,3.6,5.7k,55.2k,Financial Services ,Pune
Ashok Leyland,4.0,5.7k,19k,Automobile ,Chennai
Hero MotoCorp,4.1,5.6k,16.7k,Automobile ,Gurugram
CGI Inc,4.0,5.6k,48k,IT Services & Consulting ,Bengaluru
SBI Cards & Payment Services,3.6,5.5k,16.4k,Financial Services ,Gurugram
NTT DATA,3.8,5.4k,39.6k,IT Services & Consulting ,Bengaluru
Kalpataru Projects International,4.1,5.4k,14.3k,Engineering & Construction ,Mumbai
BNY,3.6,5.4k,32.5k,Financial Services ,Pune
Cyient,3.6,5.4k,27.8k,IT Services & Consulting ,Hyderabad
Nagarjuna Construction Company,4.0,5.4k,12.8k,Engineering & Construction ,Hyderabad
IQVIA,3.7,5.4k,32.4k,Clinical Research ,Bengaluru
Schneider Electric,4.1,5.4k,26.6k,Industrial Automation ,Bengaluru
SBI Life Insurance Company,3.7,5.3k,12.3k,Insurance ,Mumbai
CBRE,4.1,5.3k,19.6k,Real Estate ,Hyderabad
JustDial,3.5,5.3k,15.3k,Internet ,Noida
TVS Motor,3.8,5.2k,16.8k,Automobile ,Hosur
State Bank of India,3.9,5.2k,11.9k,Banking ,Mumbai
Persistent Systems,3.6,5.2k,47.9k,IT Services & Consulting ,Pune
KEC International,4.0,5.1k,13.9k,Engineering & Construction ,Mumbai
ITC Infotech,3.8,5.1k,30.5k,IT Services & Consulting ,Bengaluru
Amdocs,3.6,5k,37.7k,Software Product ,Pune
Atos,3.8,5k,33.5k,IT Services & Consulting ,Pune
vivo,4.0,5k,13k,Consumer Electronics & Appliances ,Noida
Varun Beverages,4.0,5k,12.2k,Beverage ,New
JBM Group,3.9,5k,14.2k,Auto Components ,Gurugram
Utkarsh Small Finance Bank,3.6,4.9k,11.4k,Banking ,Varanasi
Ecom Express,4.1,4.9k,9.3k,Logistics ,Gurugram
Randstad,3.7,4.8k,17.7k,Recruitment ,Hyderabad
Nagarro,3.9,4.8k,34.1k,IT Services & Consulting ,Gurugram
EY Global Delivery Services ( EY GDS),3.5,4.8k,54.8k,IT Services & Consulting ,Bengaluru
Bosch,4.1,4.8k,21.4k,Auto Components ,Bengaluru
Eviden,3.6,4.8k,26.5k,IT Services & Consulting ,Pune
Hetero,3.9,4.8k,15.6k,Pharma ,Hyderabad
Intas Pharmaceuticals,4.1,4.8k,18.2k,Pharma ,Ahmedabad
Havells,3.9,4.7k,16k,Electrical Equipment ,Noida
L&T Finance,3.8,4.7k,12.3k,NBFC ,Mumbai
R1 RCM,3.8,4.7k,23.1k,BPO ,New
Aditya Birla Fashion and Retail,4.0,4.7k,13.3k,Fashion & Textile ,Bengaluru
Tata AIA Life Insurance,3.8,4.7k,14.9k,Insurance ,Mumbai
Hewlett Packard Enterprise,4.0,4.7k,27.8k,IT Services & Consulting ,Bengaluru
Cars24,3.4,4.7k,16.1k,Internet ,Gurugram
Mahindra Logistics,3.7,4.7k,13k,Logistics ,Mumbai
Lenskart,3.3,4.7k,13.8k,Internet ,New
Berger Paints,3.7,4.6k,10.7k,Chemicals ,Kolkata
Dell,3.8,4.6k,29.2k,Consumer Electronics & Appliances ,Bengaluru
Home Credit Finance,4.0,4.6k,9.1k,NBFC ,Gurugram
Deutsche Bank,3.8,4.6k,38.8k,Banking ,Pune
Motilal Oswal Financial Services,3.7,4.5k,13.8k,Financial Services ,Mumbai
OPPO,3.8,4.5k,11.8k,Consumer Electronics & Appliances ,Greater
Hyundai Motor India Limited,4.1,4.5k,14.5k,Automobile ,Chennai
TeamLease Services,3.9,4.5k,16.7k,Recruitment ,Bengaluru
VE Commercial Vehicles,3.9,4.5k,14.7k,Automobile ,Indore
